genotype,treatment,geno_num,rep,num_of_plants,root_weigher,dry_root_wt,dry_root_wt_date,root_wt_notes,harvest_date,numeric_pt,algea_color_one,algea_color_two,shoot_wt,shoot_weigher,purpleness,shoot_weigh_date,weigh_notes,seed_or_reseed_date,sprout_date,transplant_date,gh_notes,centipede,harvest_notes,shoot_wt_by_num,total_biomass,total_biomass_by_num,seed_to_harvest,sprout_or_transplant_to_harvest
152961,L,1,A,1,LEY,2.12,2025-01-06T14:22:00Z,,7/3/2024,3,,,2.44,ET,1,2024-09-04T10:03:00Z,,4/26/2024,NA,NA,"Reseeded 26 Apr, sprouted?",n,,2.44,4.56,4.56,68,61
152961,L,1,B,2,J,1.37,2024-12-06T14:55:00Z,,7/9/2024,NA,,,1.17,ET,0,2024-08-22T12:05:00Z,20% Red (striping),4/4/2024,NA,4/26/2024,"No germ, transplanted 26 Apr, sprouted?",y,Centipede,0.59,2.54,1.275,NA,74
152961,L,1,C,1,J,1.26,2024-12-06T15:01:00Z,"Roots fell of sieve into water, loose roots lost",7/9/2024,2,,,1.08,ET,1,2024-08-22T12:08:00Z,,4/4/2024,NA,4/26/2024,"No germ, transplanted 26 Apr, sprouted ~20 may",y,Centipede,1.08,2.34,2.34,NA,74
152961,S,1,X,1,LEY,1.19,2025-01-06T14:22:00Z,,7/3/2024,3,black,,1.16,ET,2,2024-09-04T10:08:00Z,P = Red,4/26/2024,5/13/2024,NA,"Reseeded 26 Apr, sprouted?",y,Centipede,1.16,2.35,2.35,68,51
152961,S,1,Y,1,LEY,3.06,2025-01-02T11:01:00Z,,6/17/2024,NA,black,red,3.63,ET,0,2024-08-23T15:21:00Z,20% Red (striping),4/4/2024,4/11/2024,NA,,y,Centipede,3.63,6.69,6.69,74,67
152961,S,1,Z,1,WW,1.33,2025-01-07T13:21:00Z,,7/2/2024,1,,,1.69,ET,0,2024-08-23T13:00:00Z,20% Red,4/4/2024,4/11/2024,NA,,n,,1.69,3.02,3.02,89,82
152966,L,2,A,1,LEY,1.06,2025-01-02T10:43:00Z,,6/30/2024,NA,black,,1.36,ET,1,2024-08-26T10:35:00Z,,4/4/2024,4/11/2024,NA,,n,,1.36,2.42,2.42,87,80
152966,L,2,B,1,J,0.52,2024-12-06T15:03:00Z,,7/9/2024,NA,,,0.65,ET,1,2024-08-22T11:59:00Z,,4/4/2024,NA,4/26/2024,"No germ, transplanted 26 Apr",n,"Sieve fell in H2O, caught all roots I believe",0.65,1.17,1.17,NA,74
152966,L,2,C,2,J,1.33,2025-01-06T14:22:00Z,,6/18/2024,NA,orange,,1.32,ET,0,2024-08-26T13:34:00Z,,4/4/2024,4/11/2024,NA,,y,Centipede,0.66,2.65,1.325,75,68
152966,S,2,X,1,RP,2.37,2025-01-16T11:20:00Z,,6/18/2024,NA,,,2.9,ET,0,2024-08-26T13:57:00Z,,4/4/2024,4/11/2024,NA,,n,,2.9,5.27,5.27,75,68
152966,S,2,Y,3,RP,3.1,2025-02-11T15:14:00Z,,6/19/2024,NA,,,3.72,ET,1,2024-08-22T11:37:00Z,,4/4/2024,4/11/2024,NA,,n,,1.24,6.82,2.273333333,76,69
152966,S,2,Z,2,LEY,0.94,2025-01-06T14:22:00Z,,7/3/2024,NA,,,1.57,ET,1,2024-09-04T10:23:00Z,,4/4/2024,4/11/2024,NA,white moldy soil for a few days,n,,0.79,2.51,1.26,90,83
155149,L,3,A,1,J,1.4,2025-01-14T13:09:00Z,,6/18/2024,NA,,,2.74,ET,1,2024-08-28T10:47:00Z,,4/4/2024,NA,4/26/2024,"No germ, transplanted 26 Apr",n,,2.74,4.14,4.14,NA,53
155149,L,3,B,1,LEY,1.55,2025-01-02T10:57:00Z,,6/17/2024,NA,,,2.43,ET,1,2024-08-23T15:19:00Z,,4/4/2024,4/11/2024,NA,,n,,2.43,3.98,3.98,74,67
155149,L,3,C,1,J,1.32,2024-12-06T15:16:00Z,,7/17/2024,NA,,,1.26,ET,2,2024-08-23T13:49:00Z,,5/14/2024,5/22/2024,NA,"Reseeded 26 Apr, reseeded 14 May , sprouted ~22 may",n,Check the tag. this may be 3 Y. it is not,1.26,2.58,2.58,64,56
155149,S,3,X,1,LEY,2.27,2024-12-31T13:11:00Z,,6/28/2024,0,black,,4.39,MC,3,2024-08-19T16:26:00Z,,4/4/2024,4/11/2024,NA,,n,,4.39,6.66,6.66,85,78
155149,S,3,Y,1,J,0.75,2024-12-06T15:04:00Z,,7/17/2024,1,,,1.26,ET,1,2024-08-23T13:51:00Z,We're pretty sure this is 3Y,4/26/2024,5/13/2024,NA,"Reseeded 26 Apr, sprouted?",n,no bag,1.26,2.01,2.01,82,65
155149,S,3,Z,1,RP,0.44,2025-02-11T15:14:00Z,,6/19/2024,NA,,,0.4,ET,0,2024-08-22T10:39:00Z,,4/26/2024,5/9/2024,NA,"Reseeded 26 Apr, sprouted ~9 may",n,,0.4,0.84,0.84,54,41
156203,L,4,A,3,RP,1.36,2024-12-18T10:28:00Z,,6/27/2024,3,yellow,,1.4,MC,1,2024-08-21T15:06:00Z,,4/4/2024,4/11/2024,NA,,n,,0.47,2.76,0.923333333,84,77
156203,L,4,B,3,RP,1.98,2025-02-11T15:14:00Z,,6/19/2024,1,,,1.77,ET,2,2024-08-22T11:06:00Z,P = High 1 / Low 2,4/4/2024,4/11/2024,NA,,n,,0.59,3.75,1.25,76,69
156203,L,4,C,1,RP,2.72,2025-02-11T15:14:00Z,,6/19/2024,1,orange,,2.18,ET,1,2024-08-22T10:56:00Z,,4/4/2024,4/11/2024,NA,,n,,2.18,4.9,4.9,76,69
156203,S,4,X,3,RP,1.88,2025-02-11T15:14:00Z,,6/19/2024,NA,,,1.56,ET,1,2024-08-22T11:15:00Z,,4/4/2024,4/11/2024,NA,,n,,0.52,3.44,1.146666667,76,69
156203,S,4,Y,1,LEY,1.05,2025-01-06T14:22:00Z,,7/3/2024,1,,,1.3,ET,2,2024-09-04T10:26:00Z,,4/4/2024,4/11/2024,NA,,n,,1.3,2.35,2.35,90,83
156203,S,4,Z,3,J,1.49,2025-01-09T12:39:00Z,,6/21/2024,3,,,1.46,MC,1,2024-08-20T15:16:00Z,,4/4/2024,4/11/2024,NA,,n,2 shoot missing,0.49,2.95,0.986666667,78,71
156487,L,5,A,1,WW,1.99,2025-01-07T12:59:00Z,,7/2/2024,NA,,,2.61,ET,1,2024-08-23T12:23:00Z,,4/4/2024,4/11/2024,NA,,y,centipede,2.61,4.6,4.6,89,82
156487,L,5,B,2,RP,3.05,2025-02-11T15:14:00Z,,6/19/2024,3,orange,,3.3,ET,0,2024-08-22T11:19:00Z,,4/4/2024,4/11/2024,NA,,n,,1.65,6.35,3.175,76,69
156487,L,5,C,3,J,2.3,2025-01-06T14:22:00Z,,6/21/2024,3,pink,,2.09,MC,0,2024-08-20T15:16:00Z,,4/4/2024,4/11/2024,NA,,n,,0.7,4.39,1.466666667,78,71
156487,S,5,X,2,LEY,2.02,2024-12-31T10:57:00Z,,6/20/2024,NA,,,2.37,MC,1,2024-08-19T15:35:00Z,,4/4/2024,4/11/2024,NA,,y,"1 guess, centipede",1.19,4.39,2.2,77,70
156487,S,5,Y,1,LEY,4.11,2025-01-06T14:22:00Z,,7/3/2024,1,,,5.07,ET,2,2024-08-22T11:52:00Z,,4/4/2024,4/11/2024,NA,,n,,5.07,9.18,9.18,90,83
156487,S,5,Z,1,WW,2.75,2025-01-07T12:51:00Z,,7/2/2024,NA,,,3.45,ET,2,2024-08-23T11:00:00Z,,4/4/2024,4/11/2024,NA,,n,,3.45,6.2,6.2,89,82
157033,L,6,A,NA,,NA,,,NA,NA,,,NA,,NA,,,5/14/2024,NA,NA,"Reseeded 26 Apr, reseeded 14 May",n,dead,NA,NA,NA,NA,NA
157033,L,6,B,1,LEY,2.12,2025-01-02T11:03:00Z,,6/17/2024,NA,black,red,3.69,ET,2,2024-08-23T15:27:00Z,,4/4/2024,4/11/2024,NA,,n,pink red black,3.69,5.81,5.81,74,67
157033,L,6,C,NA,,NA,,,NA,NA,,,NA,,NA,,,5/14/2024,NA,NA,"Reseeded 26 Apr, reseeded 14 May",n,dead,NA,NA,NA,NA,NA
157033,S,6,X,1,RP,0.49,2025-02-11T15:14:00Z,,6/19/2024,3,,,0.25,ET,0,2024-08-22T10:14:00Z,,4/26/2024,5/13/2024,NA,Reseeded 26 Apr,n,,0.25,0.74,0.74,54,37
157033,S,6,Y,1,LEY,0.87,2024-12-30T13:29:00Z,,6/29/2024,1,orange,,1.53,ET,1,2024-08-23T15:08:00Z,,4/26/2024,5/9/2024,NA,"Reseeded 26 Apr, sprouted ~9 may",n,,1.53,2.4,2.4,64,51
157033,S,6,Z,1,LEY,1.47,2025-01-06T14:22:00Z,,7/3/2024,1,,,2.69,ET,2,2024-09-04T10:27:00Z,,4/4/2024,4/11/2024,NA,,n,,2.69,4.16,4.16,90,83
176766,L,7,A,NA,,NA,,,NA,NA,,,NA,,NA,,,5/14/2024,NA,NA,"Reseeded 26 Apr, reseeded 14 May",n,dead,NA,NA,NA,NA,NA
176766,L,7,B,NA,,NA,,,NA,NA,,,NA,,NA,,,5/14/2024,NA,NA,"Reseeded 26 Apr, reseeded 14 May",n,dead,NA,NA,NA,NA,NA
176766,L,7,C,NA,,NA,,,NA,NA,,,NA,,NA,,,5/14/2024,NA,NA,"Reseeded 26 Apr, reseeded 14 May",n,dead,NA,NA,NA,NA,NA
176766,S,7,X,NA,,NA,,,NA,NA,,,NA,,NA,,,5/14/2024,NA,NA,"Reseeded 26 Apr, reseeded 14 May. some white mold",n,dead,NA,NA,NA,NA,NA
176766,S,7,Y,NA,,NA,,,NA,NA,,,NA,,NA,,,5/14/2024,NA,NA,"Reseeded 26 Apr, reseeded 14 May",n,dead,NA,NA,NA,NA,NA
176766,S,7,Z,NA,,NA,,,NA,NA,,,NA,,NA,,,5/14/2024,NA,NA,"Reseeded 26 Apr, reseeded 14 May",n,dead,NA,NA,NA,NA,NA
179749,L,8,A,1,J,2.29,2025-01-06T14:22:00Z,,6/21/2024,1,,,3.96,MC,1,2024-08-21T15:06:00Z,,4/4/2024,4/11/2024,NA,,n,,3.96,6.25,6.25,78,71
179749,L,8,B,2,RP,1.72,2025-02-11T15:14:00Z,,6/19/2024,1,green,,3.08,ET,0,2024-08-22T09:51:00Z,,4/4/2024,4/11/2024,NA,,n,,1.54,4.8,2.4,76,69
179749,L,8,C,1,J,0.72,2024-12-06T15:14:00Z,,7/9/2024,NA,,,1.61,ET,0,2024-08-22T12:01:00Z,,4/4/2024,NA,4/26/2024,"No germ, transplanted 26 Apr",n,,1.61,2.33,2.33,NA,74
179749,S,8,X,1,LEY,2.52,2025-01-06T14:22:00Z,,7/3/2024,NA,,,7.09,ET,0,2024-09-04T10:28:00Z,,4/4/2024,4/11/2024,NA,,n,,7.09,9.61,9.61,90,83
179749,S,8,Y,3,RP,2.82,2025-02-11T15:14:00Z,,6/19/2024,NA,,,5.17,ET,1,2024-08-22T11:26:00Z,,4/4/2024,4/11/2024,NA,,n,,1.72,7.99,2.66,76,69
179749,S,8,Z,1,LEY,1.88,2025-01-02T10:47:00Z,,6/17/2024,NA,,,3.72,ET,1,2024-08-23T15:24:00Z,,4/4/2024,4/11/2024,NA,,n,,3.72,5.6,5.6,74,67
181080,L,9,A,NA,,NA,,,NA,NA,,,NA,,NA,,,5/14/2024,NA,NA,"Reseeded 26 Apr, reseeded 14 May",n,dead,NA,NA,NA,NA,NA
181080,L,9,B,1,RP,2.39,2025-01-16T11:40:00Z,,7/2/2024,1,,,4.43,ET,2,2024-08-23T12:21:00Z,,4/26/2024,5/9/2024,NA,"Reseeded 26 Apr, sprouted ~9 may",n,,4.43,6.82,6.82,67,54
181080,L,9,C,1,J,1.92,2025-01-09T12:48:00Z,,6/21/2024,NA,,,3.23,MC,3,2024-08-20T15:18:00Z,,4/4/2024,4/11/2024,NA,,n,hole in soil (maybe a plant was pulled),3.23,5.15,5.15,78,71
181080,S,9,X,1,LEY,2,2024-12-30T14:50:00Z,,7/1/2024,NA,,,6.6,ET,1,2024-08-22T12:16:00Z,,4/4/2024,4/11/2024,NA,,n,,6.6,8.6,8.6,88,81
181080,S,9,Y,1,J,1.46,2024-12-11T12:02:00Z,,7/17/2024,NA,,,3.48,ET,2,2024-08-23T14:37:00Z,,5/14/2024,5/20/2024,NA,"Reseeded 26 Apr, reseeded 14 May",n,,3.48,4.94,4.94,64,58
181080,S,9,Z,1,RP,2.01,2025-02-11T15:14:00Z,,6/19/2024,NA,,,4.24,ET,1,2024-08-22T11:11:00Z,,4/4/2024,4/11/2024,NA,,n,,4.24,6.25,6.25,76,69
181083,L,10,A,3,LEY,1.61,2024-12-31T12:30:00Z,,6/28/2024,0,purple,black,2.47,MC,4,2024-08-19T16:28:00Z,,4/4/2024,4/11/2024,NA,,n,,0.82,4.08,1.356666667,85,78
181083,L,10,B,NA,,NA,,,NA,NA,,,NA,,NA,,,5/14/2024,NA,NA,"Reseeded 26 Apr, reseeded 14 May",n,dead,NA,NA,NA,NA,NA
181083,L,10,C,1,J,0.27,2024-12-11T12:02:00Z,,7/17/2024,NA,,,0.21,ET,1,2024-08-23T13:41:00Z,,4/4/2024,NA,6/13/2024,"Reseeded 26 Apr, reseeded 14 May, transplanted  13 June",n,Just this root and tag were in bucket. Root seemed to of dissapeared.,0.21,0.48,0.48,NA,34
181083,S,10,X,1,J,0.9,2024-12-06T15:07:00Z,,7/17/2024,NA,,,1.36,ET,1,2024-08-23T14:43:00Z,,5/14/2024,5/20/2024,NA,"Reseeded 26 Apr, reseeded 14 May , sprouted ~20 may",n,,1.36,2.26,2.26,64,58
181083,S,10,Y,1,J,1.56,2024-12-11T12:02:00Z,,7/17/2024,NA,,,2.22,ET,2,2024-08-23T13:30:00Z,,5/14/2024,5/28/2024,NA,"Reseeded 26 Apr, reseeded 14 May, sprouted ~28 may",n,,2.22,3.78,3.78,64,50
181083,S,10,Z,1,LEY,1.41,2025-01-06T14:22:00Z,,7/3/2024,1,,,4.11,ET,1,2024-09-04T10:29:00Z,,4/26/2024,5/9/2024,NA,"Reseeded 26 Apr, sprouted ~9 may",n,,4.11,5.52,5.52,68,55
217691,L,11,A,1,LEY,2.06,2024-12-17T14:56:00Z,,7/9/2024,NA,,,3.71,WW,NA,2025-02-17T14:19:00Z,,4/4/2024,NA,4/26/2024,"No germ, transplanted 26 Apr",n,17 Jul or 9 Jul or 27 Jun,3.71,5.77,5.77,NA,74
217691,L,11,B,1,RP,2.78,2024-12-18T09:52:00Z,,6/27/2024,NA,,,3.49,WW,NA,2025-02-17T14:20:00Z,,4/4/2024,4/11/2024,NA,,n,17 Jul or 9 Jul or 27 Jun,3.49,6.27,6.27,84,77
217691,L,11,C,1,J,3.38,2025-01-14T13:09:00Z,,6/18/2024,NA,black,,3.88,ET,2,2024-08-26T13:32:00Z,,4/4/2024,4/11/2024,NA,,y,Centipede,3.88,7.26,7.26,75,68
217691,S,11,X,1,J,2.04,2025-01-14T13:09:00Z,,6/18/2024,NA,,,2.27,ET,2,2024-08-26T13:53:00Z,,4/4/2024,4/11/2024,NA,,n,,2.27,4.31,4.31,75,68
217691,S,11,Y,1,J,1.31,2024-12-06T15:09:00Z,,7/17/2024,NA,,,1.97,ET,3,2024-08-23T13:53:00Z,,5/14/2024,5/20/2024,NA,"Reseeded 26 Apr, reseeded 14 May, sprouted ~20 may",n,,1.97,3.28,3.28,64,58
217691,S,11,Z,1,LEY,1.18,2024-12-31T12:24:00Z,,6/28/2024,NA,black,,3.95,MC,3,2024-08-19T16:15:00Z,,4/4/2024,4/11/2024,NA,,n,,3.95,5.13,5.13,85,78
218112,L,12,A,2,LEY,1.94,2024-12-31T10:46:00Z,,6/20/2024,1,,,3.16,MC,1,2024-08-19T15:43:00Z,,4/4/2024,4/11/2024,NA,,n,1 guess,1.58,5.1,2.55,77,70
218112,L,12,B,2,J,1.67,2025-01-06T14:22:00Z,,6/21/2024,NA,,,2.53,MC,2,2024-08-21T15:06:00Z,,4/4/2024,4/11/2024,NA,,n,,1.27,4.2,2.105,78,71
218112,L,12,C,1,WW,1.37,2025-01-07T12:51:00Z,,7/2/2024,NA,,,2.8,ET,1,2024-08-23T11:19:00Z,,4/4/2024,4/11/2024,NA,,n,,2.8,4.17,4.17,89,82
218112,S,12,X,1,J,3.47,2025-01-14T13:09:00Z,,6/18/2024,NA,,,5.02,ET,1,2024-08-26T13:21:00Z,,4/4/2024,4/11/2024,NA,,n,,5.02,8.49,8.49,75,68
218112,S,12,Y,3,J,3.1,2025-01-06T14:22:00Z,,6/21/2024,1,,,4.54,MC,1,2024-08-21T15:06:00Z,,4/4/2024,4/11/2024,NA,,n,2 guessed,1.51,7.64,2.543333333,78,71
218112,S,12,Z,1,LEY,2.74,2025-01-06T14:22:00Z,,7/3/2024,1,,,7.2,ET,1,2024-09-04T10:01:00Z,,4/4/2024,4/11/2024,NA,,n,,7.2,9.94,9.94,90,83
221548,L,13,A,2,J,1.27,2025-01-09T12:22:00Z,,6/21/2024,NA,,,2.4,MC,1,2024-08-21T15:06:00Z,,4/4/2024,4/11/2024,NA,,n,1 guess,1.2,3.67,1.835,78,71
221548,L,13,B,2,J,1.7,2025-01-09T12:53:00Z,,6/21/2024,NA,,,1.44,MC,1,2024-08-21T15:06:00Z,,4/4/2024,4/11/2024,NA,,n,1 shoot missing,0.72,3.14,1.57,78,71
221548,L,13,C,1,J,1.71,2025-01-14T13:09:00Z,,6/18/2024,NA,,,1.29,ET,2,2024-08-26T13:09:00Z,P = High 2 / Low 3,4/4/2024,4/11/2024,NA,,n,,1.29,3,3,75,68
221548,S,13,X,2,J,2.14,2025-01-06T14:22:00Z,,6/21/2024,NA,,,2.95,MC,2,2024-08-20T15:16:00Z,,4/4/2024,4/11/2024,NA,,y,"centipede, 1 guess",1.48,5.09,2.55,78,71
221548,S,13,Y,3,RP,2.38,2025-01-16T11:12:00Z,0,6/18/2024,NA,,,3.27,ET,1,2024-08-28T10:50:00Z,,4/4/2024,4/11/2024,NA,,n,0,1.09,5.65,1.883333333,75,68
221548,S,13,Z,3,LEY,1.19,2025-01-02T11:07:00Z,,6/17/2024,NA,,,2.06,ET,2,2024-08-23T15:29:00Z,,4/4/2024,4/11/2024,NA,,n,,0.69,3.25,1.086666667,74,67
226096,L,14,A,NA,,NA,,,NA,NA,,,NA,,NA,,,5/14/2024,NA,NA,"Reseeded 29 Apr, reseeded 14 May",n,dead,NA,NA,NA,NA,NA
226096,L,14,B,NA,,NA,,,NA,NA,,,NA,,NA,,,5/14/2024,NA,NA,"Reseeded 29 Apr, reseeded 14 May",n,dead,NA,NA,NA,NA,NA
226096,L,14,C,NA,,NA,,,NA,NA,,,NA,,NA,,,5/14/2024,NA,NA,"Reseeded 29 Apr, reseeded 14 May",n,dead,NA,NA,NA,NA,NA
