genotype,treatment,geno_num,rep,num_of_plants,root_weigher,wet_root_wt,root_biomass_wet_wt,root_amf_wet_wt,dry_root_wt,dry_root_wt_date,root_wt_notes,harvest_date,paper_towel,numeric_pt,algea_color,algea_color_one,algea_color_two,shoot_wt,shoot_weigher,purpleness,shoot_weigh_date,weigh_notes,gh_notes,centipede,harvest_notes,num_shoot_wt
152961,L,1,A,1,LEY,NA,NA,NA,2.12,22:42:00,NA,45476,1,3,NA,NA,NA,2.44,ET,1,03:04.3,NA,"Reseeded 26 Apr, sprouted?",n,NA,2.44
152961,L,1,B,2,J,NA,NA,NA,1.37,55:06:00,NA,45482,NA,NA,NA,NA,NA,1.17,ET,0,05:31.8,20% Red (striping),"No germ, transplanted 26 Apr, sprouted?",y,Centipede,0.585
152961,L,1,C,1,J,3.61,3.27,0.34,1.26,01:37:00,"Roots fell of sieve into water, loose roots lost",45482,Med,2,NA,NA,NA,1.08,ET,1,08:09.0,NA,"No germ, transplanted 26 Apr, sprouted ~20 may",y,Centipede,1.08
152961,S,1,X,1,LEY,NA,NA,NA,1.19,22:42:00,NA,45476,1,3,black,black,NA,1.16,ET,2,08:03.3,P = Red,"Reseeded 26 Apr, sprouted?",y,Centipede,1.16
152961,S,1,Y,1,LEY,NA,NA,NA,3.06,01:22:00,NA,45460,NA,NA,black red,black,red,3.63,ET,0,21:42.0,20% Red (striping),NA,y,Centipede,3.63
152961,S,1,Z,1,WW,NA,NA,NA,1.33,21:03:00,NA,45475,little,1,NA,NA,NA,1.69,ET,0,00:18.4,20% Red,NA,n,NA,1.69
152966,L,2,A,1,LEY,NA,NA,NA,1.06,43:50:00,NA,45473,NA,NA,black,black,NA,1.36,ET,1,35:56.8,NA,NA,n,NA,1.36
152966,L,2,B,1,J,1.55,1.32,0.23,0.52,03:17:00,NA,45482,NA,NA,NA,NA,NA,0.65,ET,1,59:19.4,NA,"No germ, transplanted 26 Apr",n,"Sieve fell in H2O, caught all roots I believe",0.65
152966,L,2,C,2,J,NA,NA,NA,1.33,22:42:00,NA,45461,NA,NA,orange,orange,NA,1.32,ET,0,34:59.8,NA,NA,y,Centipede,0.66
152966,S,2,X,1,RP,NA,NA,NA,2.37,20:51:00,NA,45461,NA,NA,NA,NA,NA,2.9,ET,0,57:16.4,NA,NA,n,NA,2.9
152966,S,2,Y,3,RP,NA,NA,NA,3.1,14:03:00,NA,45462,NA,NA,NA,NA,NA,3.72,ET,1,37:37.3,NA,NA,n,NA,1.24
152966,S,2,Z,2,LEY,NA,NA,NA,0.94,22:42:00,NA,45476,NA,NA,NA,NA,NA,1.57,ET,1,23:55.4,NA,white moldy soil for a few days,n,NA,0.785
155149,L,3,A,1,J,NA,NA,NA,1.4,09:33:00,NA,45461,NA,NA,NA,NA,NA,2.74,ET,1,47:44.4,NA,"No germ, transplanted 26 Apr",n,NA,2.74
155149,L,3,B,1,LEY,NA,NA,NA,1.55,57:50:00,NA,45460,NA,NA,NA,NA,NA,2.43,ET,1,19:26.4,NA,NA,n,NA,2.43
155149,L,3,C,1,J,NA,NA,NA,1.32,16:01:00,NA,45490,NA,NA,NA,NA,NA,1.26,ET,2,49:36.8,NA,"Reseeded 26 Apr, reseeded 14 Mar , sprouted ~22 may",n,Check the tag. this may be 3 Y,1.26
155149,S,3,X,1,LEY,NA,NA,NA,2.27,11:57:00,NA,45471,disintegrated,0,black,black,NA,4.39,MC,3,26:20.5,NA,NA,n,NA,4.39
155149,S,3,Y,1,J,3.3,2.97,0.33,0.75,04:48:00,NA,45490,45296,1,NA,NA,NA,1.26,ET,1,51:52.4,We're pretty sure this is 3Y,"Reseeded 26 Apr, sprouted?",n,no bag 3C 3Y 3C3Y3C yes,1.26
155149,S,3,Z,1,RP,NA,NA,NA,0.44,14:03:00,NA,45462,NA,NA,NA,NA,NA,0.4,ET,0,39:42.3,NA,"Reseeded 26 Apr, sprouted ~9 may",n,NA,0.4
156203,L,4,A,3,R,NA,NA,NA,1.36,28:22:00,NA,45470,1,3,yellow,yellow,NA,1.4,MC,1,06:35.7,NA,NA,n,NA,0.466666667
156203,L,4,B,3,RP,NA,NA,NA,1.98,14:03:00,NA,45462,small,1,NA,NA,NA,1.77,ET,2,06:27.6,P = High 1 / Low 2,NA,n,NA,0.59
156203,L,4,C,1,RP,NA,NA,NA,2.72,14:03:00,NA,45462,some,1,orange,orange,NA,2.18,ET,1,56:12.5,NA,NA,n,NA,2.18
156203,S,4,X,3,RP,NA,NA,NA,1.88,14:03:00,NA,45462,NA,NA,NA,NA,NA,1.56,ET,1,15:11.2,NA,NA,n,NA,0.52
156203,S,4,Y,1,LEY,NA,NA,NA,1.05,22:42:00,NA,45476,very little,1,NA,NA,NA,1.3,ET,2,26:16.2,NA,NA,n,NA,1.3
156203,S,4,Z,3,J,NA,NA,NA,1.49,39:11:00,NA,45464,1,3,NA,NA,NA,1.46,MC,1,16:41.4,NA,NA,n,2 shoot missing,0.486666667
156487,L,5,A,1,WW,NA,NA,NA,1.99,59:39:00,NA,45475,NA,NA,NA,NA,NA,2.61,ET,1,23:54.2,NA,NA,y,centipede,2.61
156487,L,5,B,2,RP,NA,NA,NA,3.05,14:03:00,NA,45462,1,3,orange,orange,NA,3.3,ET,0,19:39.1,NA,NA,n,NA,1.65
156487,L,5,C,3,J,NA,NA,NA,2.3,22:42:00,NA,45464,big,3,pink,pink,NA,2.09,MC,0,16:41.4,NA,NA,n,NA,0.696666667
156487,S,5,X,2,LEY,NA,NA,NA,2.02,57:38:00,NA,45463,NA,NA,NA,NA,NA,2.37,MC,1,35:11.6,NA,NA,y,"1 guess, centipede",1.185
156487,S,5,Y,1,LEY,NA,NA,NA,4.11,22:42:00,NA,45476,little,1,NA,NA,NA,5.07,ET,2,52:17.8,NA,NA,n,NA,5.07
156487,S,5,Z,1,WW,NA,NA,NA,2.75,51:16:00,NA,45475,NA,NA,NA,NA,NA,3.45,ET,2,00:43.8,NA,NA,n,NA,3.45
157033,L,6,B,1,LEY,NA,NA,NA,2.12,03:59:00,NA,45460,NA,NA,black red,black,red,3.69,ET,2,27:39.7,NA,NA,n,pink red black,3.69
157033,S,6,X,1,RP,NA,NA,NA,0.49,14:03:00,NA,45462,stayed at bottom,3,NA,NA,NA,0.25,ET,0,14:21.7,NA,Reseeded 26 Apr,n,NA,0.25
157033,S,6,Y,1,LEY,NA,NA,NA,0.87,29:03:00,NA,45472,very little,1,orange,orange,NA,1.53,ET,1,08:31.5,NA,"Reseeded 26 Apr, sprouted ~9 may",n,NA,1.53
157033,S,6,Z,1,LEY,NA,NA,NA,1.47,22:42:00,NA,45476,little bit,1,NA,NA,NA,2.69,ET,2,27:12.4,NA,NA,n,NA,2.69
179749,L,8,A,1,J,NA,NA,NA,2.29,22:42:00,NA,45464,small,1,NA,NA,NA,3.96,MC,1,06:35.7,NA,NA,n,NA,3.96
179749,L,8,B,2,RP,NA,NA,NA,1.72,14:03:00,NA,45462,little,1,green,green,NA,3.08,ET,0,51:16.7,NA,NA,n,NA,1.54
179749,L,8,C,1,J,1.43,1.3,0.13,0.72,14:56:00,NA,45482,NA,NA,NA,NA,NA,1.61,ET,0,01:20.4,NA,"No germ, transplanted 26 Apr",n,NA,1.61
179749,S,8,X,1,LEY,NA,NA,NA,2.52,22:42:00,NA,45476,NA,NA,NA,NA,NA,7.09,ET,0,28:20.6,NA,NA,n,NA,7.09
179749,S,8,Y,3,RP,NA,NA,NA,2.82,14:03:00,NA,45462,NA,NA,NA,NA,NA,5.17,ET,1,26:10.5,NA,NA,n,NA,1.723333333
179749,S,8,Z,1,LEY,NA,NA,NA,1.88,47:51:00,NA,45460,NA,NA,NA,NA,NA,3.72,ET,1,24:00.3,NA,NA,n,NA,3.72
181080,L,9,B,1,RP,NA,NA,NA,2.39,40:55:00,NA,45475,small,1,NA,NA,NA,4.43,ET,2,21:25.6,NA,"Reseeded 26 Apr, sprouted ~9 may",n,NA,4.43
181080,L,9,C,1,J,NA,NA,NA,1.92,48:46:00,NA,45464,NA,NA,NA,NA,NA,3.23,MC,3,18:18.1,NA,NA,n,hole in soil (maybe a plant was pulled),3.23
181080,S,9,X,1,LEY,NA,NA,NA,2,50:08:00,NA,45474,NA,NA,NA,NA,NA,6.6,ET,1,16:28.4,NA,NA,n,NA,6.6
181080,S,9,Y,1,J,NA,NA,NA,1.46,02:29:00,NA,45490,NA,NA,NA,NA,NA,3.48,ET,2,37:33.0,NA,"Reseeded 26 Apr, reseeded 14 Mar",n,NA,3.48
181080,S,9,Z,1,RP,NA,NA,NA,2.01,14:03:00,NA,45462,NA,NA,NA,NA,NA,4.24,ET,1,11:11.9,NA,NA,n,NA,4.24
181083,L,10,A,3,LEY,NA,NA,NA,1.61,30:23:00,NA,45471,disintegrated,0,purple black,purple,black,2.47,MC,4,28:23.2,NA,NA,n,NA,0.823333333
181083,L,10,C,1,J,NA,NA,NA,0.27,02:29:00,NA,45490,NA,NA,NA,NA,NA,0.21,ET,1,41:09.6,NA,"Reseeded 26 Apr, reseeded 14 Mar, transplanted  13 June",n,Just this root and tag were in bucket. Root seemed to of dissapeared.,0.21
181083,S,10,X,1,J,2.05,1.78,0.27,0.9,07:16:00,NA,45490,NA,NA,NA,NA,NA,1.36,ET,1,43:46.3,NA,"Reseeded 26 Apr, reseeded 14 Mar , sprouted ~22 may",n,NA,1.36
181083,S,10,Y,1,J,NA,NA,NA,1.56,02:29:00,NA,45490,NA,NA,NA,NA,NA,2.22,ET,2,30:36.3,NA,"Reseeded 26 Apr, reseeded 14 Mar, sprouted ~28 may",n,NA,2.22
181083,S,10,Z,1,LEY,NA,NA,NA,1.41,22:42:00,NA,45476,very little,1,NA,NA,NA,4.11,ET,1,29:38.4,NA,"Reseeded 26 Apr, sprouted ~9 may",n,NA,4.11
217691,L,11,A,1,LEY,NA,NA,NA,2.06,56:55:00,NA,17 Jul or 9 Jul or 27 Jun,NA,NA,NA,NA,NA,3.71,WW,NA,19:01.1,NA,"No germ, transplanted 26 Apr",n,NA,NA
217691,L,11,B,1,RP,NA,NA,NA,2.78,52:44:00,NA,NA,NA,NA,NA,NA,NA,3.49,WW,NA,20:41.3,NA,NA,n,NA,NA
217691,L,11,C,1,J,NA,NA,NA,3.38,09:33:00,NA,45461,NA,NA,black,black,NA,3.88,ET,2,32:29.5,NA,NA,y,Centipede,3.88
217691,S,11,X,1,J,NA,NA,NA,2.04,09:33:00,NA,45461,NA,NA,NA,NA,NA,2.27,ET,2,53:52.5,NA,NA,n,NA,2.27
217691,S,11,Y,1,J,2.13,1.99,0.14,1.31,09:07:00,NA,45490,NA,NA,NA,NA,NA,1.97,ET,3,53:38.7,NA,"Reseeded 26 Apr, reseeded 14 Mar, sprouted ~20 may",n,NA,1.97
217691,S,11,Z,1,LEY,NA,NA,NA,1.18,24:45:00,NA,45471,NA,NA,black,black,NA,3.95,MC,3,15:28.2,NA,NA,n,NA,3.95
218112,L,12,A,2,LEY,NA,NA,NA,1.94,46:53:00,NA,45463,tiny,1,NA,NA,NA,3.16,MC,1,43:01.6,NA,NA,n,1 guess,1.58
218112,L,12,B,2,J,NA,NA,NA,1.67,22:42:00,NA,45464,NA,NA,NA,NA,NA,2.53,MC,2,06:35.7,NA,NA,n,NA,1.265
218112,L,12,C,1,WW,NA,NA,NA,1.37,51:16:00,NA,45475,NA,NA,NA,NA,NA,2.8,ET,1,19:00.2,NA,NA,n,NA,2.8
218112,S,12,X,1,J,NA,NA,NA,3.47,09:33:00,NA,45461,NA,NA,NA,NA,NA,5.02,ET,1,8/26/2024 13:21,NA,NA,n,NA,5.02
218112,S,12,Y,3,J,NA,NA,NA,3.1,22:42:00,NA,45464,tiny,1,NA,NA,NA,4.54,MC,1,06:35.7,NA,NA,n,2 guessed,1.513333333
218112,S,12,Z,1,LEY,NA,NA,NA,2.74,22:42:00,NA,45476,little,1,NA,NA,NA,7.2,ET,1,01:28.4,NA,NA,n,NA,7.2
221548,L,13,A,2,J,NA,NA,NA,1.27,22:17:00,NA,45464,NA,NA,NA,NA,NA,2.4,MC,1,06:35.7,NA,NA,n,1 guess,1.2
221548,L,13,B,2,J,NA,NA,NA,1.7,53:16:00,NA,45464,NA,NA,NA,NA,NA,1.44,MC,1,06:35.7,NA,NA,n,1 shoot missing,0.72
221548,L,13,C,1,J,NA,NA,NA,1.71,09:33:00,NA,45461,NA,NA,NA,NA,NA,1.29,ET,2,09:01.2,P = High 2 / Low 3,NA,n,NA,1.29
221548,S,13,X,2,J,NA,NA,NA,2.14,22:42:00,NA,45464,NA,NA,NA,NA,NA,2.95,MC,2,16:41.4,NA,NA,y,"centipede, 1 guess",1.475
221548,S,13,Y,3,RP,NA,NA,NA,2.38,12:09:00,0,45461,NA,NA,NA,NA,NA,3.27,ET,1,50:38.1,NA,NA,n,0,1.09
221548,S,13,Z,3,LEY,NA,NA,NA,1.19,07:41:00,NA,45460,NA,NA,NA,NA,NA,2.06,ET,2,29:10.5,NA,NA,n,NA,0.686666667
226096,S,14,X,1,J,NA,NA,NA,1.49,02:29:00,NA,45490,NA,NA,NA,NA,NA,1.4,ET,2,59:25.2,NA,"Reseeded 29 Apr, reseeded 14 Mar some mold on soil surface. sprouted ~28 may",n,NA,1.4
22913,L,15,B,1,LEY,NA,NA,NA,2.59,22:42:00,NA,45476,very little,1,NA,NA,NA,4.53,ET,1,06:21.3,NA,NA,n,NA,4.53
22913,L,15,C,2,LEY,NA,NA,NA,3.94,05:52:00,NA,45474,Very little,1,black,black,NA,6.18,ET,1,25:47.4,NA,NA,n,NA,3.09
22913,S,15,Z,1,J,NA,NA,NA,3.42,09:33:00,NA,45461,Big,3,NA,NA,NA,5.1,ET,1,18:33.1,NA,NA,n,NA,5.1
300118,L,17,A,2,J,NA,NA,NA,1.48,22:17:00,NA,45464,small,1,NA,NA,NA,1.85,MC,3,06:35.7,NA,NA,n,NA,0.925
300118,L,17,B,3,LEY,NA,NA,NA,3.41,36:07:00,NA,45473,1,3,black,black,NA,3.38,ET,2,40:43.7,NA,NA,n,NA,1.126666667
300118,L,17,C,1,RP,NA,NA,NA,1.86,06:42:00,NA,45475,NA,NA,NA,NA,NA,2.97,ET,1,28:46.3,NA,NA,n,NA,2.97
300118,S,17,X,3,LEY,NA,NA,NA,2.44,05:24:00,NA,45463,NA,NA,NA,NA,NA,2.41,MC,3,26:56.5,NA,NA,n,2 guessed,0.803333333
300118,S,17,Y,1,LEY,NA,NA,NA,2.08,52:30:00,NA,45474,NA,NA,NA,NA,NA,4.61,ET,4,19:31.6,NA,NA,n,NA,4.61
300118,S,17,Z,1,LEY,NA,NA,NA,1.95,18:37:00,NA,45474,small,1,NA,NA,NA,3.42,ET,2,18:12.1,NA,NA,n,NA,3.42
329338,L,18,A,1,J,2.38,1.95,0.43,0.7,12:09:00,NA,45482,NA,NA,NA,NA,NA,1,ET,1,03:37.7,NA,"No germ, transplanted 26 Apr",n,NA,1
329338,L,18,B,1,J,NA,NA,NA,1.4,02:29:00,NA,45490,45296,1,NA,NA,NA,3.03,ET,2,39:36.3,NA,"Reseeded 29 Apr, reseeded 14 Mar",n,NA,3.03
329338,L,18,C,1,J,1.21,1.08,0.13,0.76,18:33:00,NA,45490,NA,NA,NA,NA,NA,0.96,ET,1,42:04.3,NA,"Reseeded 29 Apr, reseeded 14 Mar, sprouted ~9 may",n,NA,0.96
329338,S,18,X,1,LEY,NA,NA,NA,0.66,22:42:00,NA,45476,intact,3,NA,NA,NA,0.97,ET,0,09:45.2,NA,"Reseeded 29 Apr, reseeded 14 Mar",n,NA,0.97
329338,S,18,Y,1,RP,NA,NA,NA,4.42,11:39:00,NA,45475,big,3,NA,NA,NA,5.34,ET,2,41:52.5,NA,NA,n,NA,5.34
329338,S,18,Z,3,J,NA,NA,NA,3.07,22:17:00,NA,45464,small,1,black,black,NA,3,MC,1,16:41.4,NA,"Reseeded 29 Apr, sprouted ~9 may",n,NA,1
329435,L,19,A,1,LEY,NA,NA,NA,3.34,22:42:00,NA,45476,little,1,NA,NA,NA,4.38,ET,0,17:21.4,NA,NA,n,NA,4.38
329435,L,19,B,2,J,NA,NA,NA,2.37,22:17:00,NA,45464,NA,NA,NA,NA,NA,3.3,MC,1,16:41.4,NA,NA,n,NA,1.65
329435,L,19,C,1,WW,NA,NA,NA,3.29,32:02:00,NA,45475,little,1,yellow,yellow,NA,5.05,ET,1,38:20.8,NA,NA,n,NA,5.05
329435,S,19,X,1,RP,NA,NA,NA,2.14,14:03:00,NA,45462,1,3,NA,NA,NA,3.27,ET,0,00:23.0,NA,NA,n,NA,3.27
329435,S,19,Y,1,J,NA,NA,NA,3.1,22:42:00,NA,45461,1,3,NA,NA,NA,3.37,ET,0,55:31.9,NA,"No germ, transplanted 26 Apr",n,NA,3.37
329435,S,19,Z,1,RP,NA,NA,NA,3.55,14:03:00,NA,45462,1,3,black green,black,green,6,ET,0,32:29.8,NA,NA,n,NA,6
330168,L,20,A,1,RP,NA,NA,NA,3.16,30:45:00,NA,45461,NA,NA,pink,pink,NA,3.7,ET,0,47:44.4,NA,NA,n,Roots sampled before harvest,3.7
330168,L,20,B,2,J,NA,NA,NA,3.76,22:42:00,NA,45464,small,1,black,black,NA,3.85,MC,1,16:41.4,NA,NA,n,1 guess,1.925
330168,L,20,C,1,LEY,NA,NA,NA,2.31,47:47:00,NA,45472,NA,NA,black,black,NA,3.68,ET,1,14:46.5,NA,NA,n,NA,3.68
330168,S,20,X,1,J,NA,NA,NA,4.01,22:42:00,NA,45461,NA,NA,black red,black,red,4.71,ET,1,47:44.4,"2 bags both labeled 20X, combining bags per Sedona's instruction","No germ, transplanted 26 Apr",n,Likely 20X started June 17 &; ?ok?,4.71
330168,S,20,Y,1,LEY,NA,NA,NA,2.19,43:05:00,NA,45472,NA,NA,black,black,NA,4.79,ET,1,16:24.1,NA,NA,n,NA,4.79
330168,S,20,Z,2,J,NA,NA,NA,2.47,22:42:00,NA,45464,small,1,black,black,NA,4.24,MC,1,16:41.4,NA,NA,n,NA,2.12
330195,L,21,A,2,J,NA,NA,NA,2.97,22:17:00,NA,45464,small,1,black,black,NA,3.61,MC,3,06:35.7,NA,NA,n,NA,1.805
330195,L,21,B,1,RP,NA,NA,NA,1.51,52:38:00,NA,45475,med,2,NA,NA,NA,1.31,ET,3,39:22.8,P = High 2 / Low 3,NA,n,NA,1.31
330195,L,21,C,1,RP,NA,NA,NA,1.56,14:03:00,NA,45462,NA,NA,NA,NA,NA,1.99,ET,2,50:20.0,NA,NA,n,NA,1.99
330195,S,21,X,3,J,NA,NA,NA,2.29,09:33:00,NA,45461,NA,NA,NA,NA,NA,3.4,ET,2,47:44.4,NA,NA,n,NA,1.133333333
330195,S,21,Y,3,J,NA,NA,NA,2.22,22:17:00,NA,45464,very little,1,NA,NA,NA,3.17,MC,3,16:41.4,NA,NA,n,NA,1.056666667
330195,S,21,Z,3,RP,NA,NA,NA,2.22,14:03:00,NA,45462,small,1,NA,NA,NA,3.42,ET,2,44:28.9,NA,NA,n,2 guessed,1.14
337680,L,22,A,1,LEY,NA,NA,NA,2.87,14:07:00,NA,45477,1,3,black,black,NA,6.13,ET,2,55:50.3,NA,NA,n,NA,6.13
337680,L,22,B,1,LEY,NA,NA,NA,2.38,27:05:00,NA,45477,little,1,NA,NA,NA,4.63,ET,1,03:36.9,NA,NA,n,NA,4.63
337680,L,22,C,1,LEY,NA,NA,NA,0.57,22:42:00,NA,45476,very little,1,NA,NA,NA,1.2,ET,1,21:32.8,NA,"No germ, transplanted 26 Apr",n,NA,1.2
